ID,condition,RT
ldt2_s01,word,0.39157033436060695
ldt2_s01,word,0.4359079995612158
ldt2_s01,word,0.4996721698766282
ldt2_s01,word,0.45432972642811026
ldt2_s01,word,0.48573224378733526
ldt2_s01,word,0.4341991109437323
ldt2_s01,word,0.49660371556104166
ldt2_s01,word,0.46596971136426385
ldt2_s01,word,0.4740000134075141
ldt2_s01,word,0.37643330797326663
ldt2_s01,word,0.4693568288535864
ldt2_s01,word,0.4591173621359043
ldt2_s01,word,0.4415272781904566
ldt2_s01,word,0.45849133610571563
ldt2_s01,word,0.4662021391683548
ldt2_s01,word,0.5639359931839226
ldt2_s01,word,0.4629114520037847
ldt2_s01,word,0.44746904159370915
ldt2_s01,word,0.4427065700214457
ldt2_s01,word,0.5458274667580063
ldt2_s01,word,0.5232010866568431
ldt2_s01,word,0.49296742653326264
ldt2_s01,word,0.49515041180509944
ldt2_s01,word,0.3774417064501022
ldt2_s01,word,0.4431411892774951
ldt2_s01,nonword,0.6138716681649237
ldt2_s01,nonword,0.6163831564596415
ldt2_s01,nonword,0.7873153889158615
ldt2_s01,nonword,0.7468287388368128
ldt2_s01,nonword,0.7309206583851329
ldt2_s01,nonword,0.7394573850395976
ldt2_s01,nonword,0.7198386085862749
ldt2_s01,nonword,0.7151457148278635
ldt2_s01,nonword,0.7925856736174565
ldt2_s01,nonword,0.7270218285180269
ldt2_s01,nonword,0.6694922608044942
ldt2_s01,nonword,0.7384345655463253
ldt2_s01,nonword,0.7374624931334286
ldt2_s01,nonword,0.7661002679878363
ldt2_s01,nonword,0.7431026465240386
ldt2_s01,nonword,0.7067569293215239
ldt2_s01,nonword,0.6354732242105214
ldt2_s01,nonword,0.7985421800036554
ldt2_s01,nonword,0.7742196070264945
ldt2_s01,nonword,0.8041983752289217
ldt2_s01,nonword,0.6683124070234295
ldt2_s01,nonword,0.6497073380266968
ldt2_s01,nonword,0.6403280863478581
ldt2_s01,nonword,0.7278491434001575
ldt2_s01,nonword,0.6839626912749988
