ID,condition,RT
ldt2_s03,word,0.8367695393458775
ldt2_s03,word,0.8491436280973514
ldt2_s03,word,0.8141223067579826
ldt2_s03,word,0.8164906203026635
ldt2_s03,word,0.8672228919274537
ldt2_s03,word,0.9217490607914729
ldt2_s03,word,0.7405736828057479
ldt2_s03,word,0.7822383891897507
ldt2_s03,word,0.8368931579973735
ldt2_s03,word,0.8623102284727295
ldt2_s03,word,0.7746461895573263
ldt2_s03,word,0.8085731251547708
ldt2_s03,word,0.7690689213952329
ldt2_s03,word,0.8303111453965292
ldt2_s03,word,0.784504894449205
ldt2_s03,word,0.8538426841374179
ldt2_s03,word,0.8734841497501716
ldt2_s03,word,0.8276428716624468
ldt2_s03,word,0.8312349886274387
ldt2_s03,word,0.8174154665783778
ldt2_s03,word,0.749509859080885
ldt2_s03,word,0.8634073619953778
ldt2_s03,word,0.8158463421284806
ldt2_s03,word,0.8388019250110296
ldt2_s03,word,0.8072580237350193
ldt2_s03,nonword,0.773382552485958
ldt2_s03,nonword,0.8436780111241526
ldt2_s03,nonword,0.8199195194641031
ldt2_s03,nonword,0.8097683267862658
ldt2_s03,nonword,0.7386589759547325
ldt2_s03,nonword,0.8626479110262714
ldt2_s03,nonword,0.7854468347334801
ldt2_s03,nonword,0.7783964101596557
ldt2_s03,nonword,0.7395146032217442
ldt2_s03,nonword,0.6835213926401988
ldt2_s03,nonword,0.8630248587006005
ldt2_s03,nonword,0.7943628728479063
ldt2_s03,nonword,0.7444431287029271
ldt2_s03,nonword,0.7135972004273156
ldt2_s03,nonword,0.6601689969645392
ldt2_s03,nonword,0.7720598051862091
ldt2_s03,nonword,0.7145140564963195
ldt2_s03,nonword,0.7750947253701314
ldt2_s03,nonword,0.8157661830650615
ldt2_s03,nonword,0.692198025401198
ldt2_s03,nonword,0.7407074705589299
ldt2_s03,nonword,0.8360246338871588
ldt2_s03,nonword,0.8762051098753417
ldt2_s03,nonword,0.7119911283744826
ldt2_s03,nonword,0.7850768450914902
