ID,condition,RT
ldt_s04,word,0.7580154842154944
ldt_s04,word,0.6127675355967281
ldt_s04,word,0.6434391478043043
ldt_s04,word,0.7137215749605063
ldt_s04,word,0.6963303678454486
ldt_s04,word,0.6908027516256695
ldt_s04,word,0.5758865049614231
ldt_s04,word,0.9373531579371477
ldt_s04,word,0.5065163454043871
ldt_s04,word,0.6457309105628892
ldt_s04,word,0.5185808391622657
ldt_s04,word,0.6069495860322524
ldt_s04,word,0.6748579471352524
ldt_s04,word,0.7129132429545675
ldt_s04,word,0.7579996649295389
ldt_s04,word,0.48069696921875926
ldt_s04,word,0.8131865215424972
ldt_s04,word,0.6838093607403027
ldt_s04,word,0.4902986684033218
ldt_s04,word,0.7887879907502523
ldt_s04,word,0.625921208219026
ldt_s04,word,0.6904776309235983
ldt_s04,word,0.5339542541437621
ldt_s04,word,0.5455311325378036
ldt_s04,word,0.44999275530133914
ldt_s04,nonword,0.7071207176005736
ldt_s04,nonword,0.8106214547880976
ldt_s04,nonword,0.5590771319356024
ldt_s04,nonword,0.7960974064637089
ldt_s04,nonword,0.7645226438618468
ldt_s04,nonword,1.0109122634278724
ldt_s04,nonword,0.8589561265426519
ldt_s04,nonword,0.6457747472721543
ldt_s04,nonword,0.6961798293489279
ldt_s04,nonword,0.6212346328623946
ldt_s04,nonword,0.5504419804868635
ldt_s04,nonword,0.7772518460466228
ldt_s04,nonword,0.6964399960807525
ldt_s04,nonword,0.7972376649624244
ldt_s04,nonword,0.789890166242903
ldt_s04,nonword,0.6515111800971094
ldt_s04,nonword,0.8688895342127271
ldt_s04,nonword,0.7691854441678873
ldt_s04,nonword,0.8450441705782072
ldt_s04,nonword,0.899763174287653
ldt_s04,nonword,0.724023969892272
ldt_s04,nonword,0.8338412438856592
ldt_s04,nonword,0.5209755273446864
ldt_s04,nonword,0.6777949744046796
ldt_s04,nonword,0.8826108259920422
