ID,condition,RT
ldt2_s05,word,0.4782836961896437
ldt2_s05,word,0.6248739740465755
ldt2_s05,word,0.5687208220845124
ldt2_s05,word,0.5260199289356899
ldt2_s05,word,0.6085707224848379
ldt2_s05,word,0.575880505864563
ldt2_s05,word,0.6051302337884192
ldt2_s05,word,0.6056829596577608
ldt2_s05,word,0.48553501611896993
ldt2_s05,word,0.5070060690843637
ldt2_s05,word,0.534322145237269
ldt2_s05,word,0.5457376134904789
ldt2_s05,word,0.5867563304214197
ldt2_s05,word,0.5808269153735276
ldt2_s05,word,0.5757601720194568
ldt2_s05,word,0.5551469232696802
ldt2_s05,word,0.5438261151784682
ldt2_s05,word,0.5884064700440387
ldt2_s05,word,0.4575480738750255
ldt2_s05,word,0.4747772790895512
ldt2_s05,word,0.5526081724039564
ldt2_s05,word,0.6138058738050315
ldt2_s05,word,0.5894713649826464
ldt2_s05,word,0.535779973695727
ldt2_s05,word,0.6408317989306773
ldt2_s05,nonword,0.753028511708209
ldt2_s05,nonword,0.831426342490936
ldt2_s05,nonword,0.8408344753616529
ldt2_s05,nonword,0.80949682477951
ldt2_s05,nonword,0.8196263790933116
ldt2_s05,nonword,0.756650714425866
ldt2_s05,nonword,0.8546987244226543
ldt2_s05,nonword,0.7379920728740391
ldt2_s05,nonword,0.7587227534015146
ldt2_s05,nonword,0.8487808784395106
ldt2_s05,nonword,0.7812094570262352
ldt2_s05,nonword,0.825491421053799
ldt2_s05,nonword,0.8036809122547179
ldt2_s05,nonword,0.8148220053884195
ldt2_s05,nonword,0.6758971423140546
ldt2_s05,nonword,0.8117217099168953
ldt2_s05,nonword,0.6807680754615348
ldt2_s05,nonword,0.7649158870563492
ldt2_s05,nonword,0.8468076880855391
ldt2_s05,nonword,0.755450416997749
ldt2_s05,nonword,0.9160552432479194
ldt2_s05,nonword,0.7953004469206804
ldt2_s05,nonword,0.6606044398228265
ldt2_s05,nonword,0.823692137896945
ldt2_s05,nonword,0.7872315142166373
